Word   Frequency
Positive adjectives:
hot 30
delicious 27
good 19
amazing 17
best 15
great 13
sweet 13
little 9
different 9
beautiful 8
european 7
rich 7
many 6
first 6
wonderful 6
favorite 6
nice 6
friendly 5
huge 5
small 5
cute 5
perfect 5
cold 4
fantastic 4
single 4
tasty 4
frozen 4
fresh 4
helpful 4
seasonal 4
next 4
dark 4
super 3
cool 3
unique 3
fun 3
soft 3
happy 3
free 3
sure 3
adorable 3
tiny 3
incredible 3
high 3
right 3
sexy 2
expensive 2
new 2
white 2
bright 2
hard 2
last 2
individual 2
special 2
large 2
able 2
lucky 2
elegant 2
pretty 2
late 2
cocoa 2
excited 2
warm 2
much 2
worth 2
chocolate 2
gorgeous 2
whole 2
yummy 2
local 2
cheap 2
ready 2
big 2
authentic 1
mocha 1
awesome 1
knowledgeable 1
popular 1
dense 1
pure 1
crazy 1
artificial 1
positive 1
flavorful 1
fast 1
shortbread 1
loose 1
quick 1
grand 1
several 1
frequent 1
extraodinary 1
sooo 1
overwhelming 1
marvelous 1
rocky 1
red 1
early 1
yumirific 1
noon 1
nutty 1
like 1
enticing 1
ideal 1
stylish 1
almond 1
international 1
affordable 1
beverages 1
slight 1
bad 1
delectable 1
impressed 1
fine 1
bitter 1
long 1
dish 1
magical 1
pecan 1
romantic 1
cant 1
marshmellow 1
second 1
clean 1
colorful 1
iced 1
select 1
cut 1
actual 1
phenomenal 1
quite 1
tongue 1
covered 1
tall 1
generous 1
recommended 1
housemade 1
sorry 1
indulgent 1
rental 1
traditional 1
excellent 1
top 1
gourmet 1
gigantic 1
chefs 1
premium 1
entire 1
chocolaticious 1
superb 1
creamy 1
raw 1
elaborate 1
ice 1
gummy 1
full 1
mixed 1
supportive 1
ooey 1
mouth 1
pleasant 1
dessert 1
regular 1
numerous 1
yumtastic 1
fanatic 1
decent 1
non 1
exquisite 1
bacon 1
old 1
german 1
enough 1
marshmallow 1
giant 1
freshly 1
industrial 1
flavor 1
chocolatey 1
yummilicious 1
frothy 1
intense 1
heaven 1
olden 1
child 1
limited 1
wrong 1
chewy 1

Negative adjectives:
bad 21
good 19
old 8
expensive 7
rude 6
terrible 6
much 6
white 5
hot 5
ok 4
great 4
hard 4
special 4
disappointed 4
small 4
worth 3
high 3
cheap 3
okay 3
least 2
pretty 2
unfriendly 2
friendly 2
beautiful 2
overpriced 2
open 2
free 2
rich 2
average 2
waxy 2
irish 2
individual 2
best 2
awful 2
decent 2
different 2
dry 2
marshmallow 2
nice 2
first 2
creamy 2
complete 2
red 1
downtown 1
salty 1
mediocre 1
chewable 1
overall 1
additional 1
sugar 1
nasty 1
ultra 1
huge 1
lemon 1
vegan 1
half 1
positive 1
real 1
sable 1
little 1
horrified 1
familiar 1
top 1
plain 1
fanatic 1
cute 1
touch 1
sour 1
cool 1
ethnic 1
sloppy 1
sure 1
double 1
available 1
mealy 1
new 1
fair 1
exact 1
mall 1
stupid 1
tasteless 1
blah 1
tiny 1
undrinkable 1
rd 1
busy 1
sweet 1
thoughtful 1
last 1
poorly 1
pretentious 1
unprofessional 1
various 1
sick 1
plastic 1
low 1
helpful 1
disappointing 1
goodit 1
right 1
short 1
snobby 1
several 1
interested 1
close 1
distinctive 1
paused 1
gross 1
similar 1
passive 1
limited 1
understaffed 1
disorganized 1
pricepoint 1
famous 1
unsweet 1
bitter 1
long 1
enough 1
simple 1
aggressive 1
like 1
poor 1
semi 1
able 1
skinny 1
dark 1
prepared 1
clean 1
lucky 1
iced 1
organic 1
linger 1
chewy 1

Positive nouns:
chocolate 154
place 30
bar 14
time 12
service 11
marshmallow 11
drink 10
cookie 10
truffle 10
treat 9
quality 9
dessert 9
candy 9
store 9
drinking 9
gift 8
flavor 8
shop 8
sample 8
everything 7
ingredient 7
item 7
price 7
bean 7
mission 7
cup 6
dandelion 6
location 6
caramel 6
house 6
milk 6
line 6
world 6
friend 6
customer 6
taste 6
staff 5
sugar 5
order 5
way 5
amores 5
thing 5
lover 5
bite 5
cocoa 5
experience 5
visit 4
people 4
day 4
homemade 4
cooky 4
heaven 4
love 4
butter 4
chef 4
mocha 4
kind 4
coffee 4
box 4
menu 4
family 3
home 3
mini 3
origin 3
come 3
option 3
night 3
amore 3
star 3
texture 3
country 3
word 3
flight 3
cream 3
basket 3
anyone 3
tour 3
hand 3
cute 3
sure 3
sweet 3
counter 3
old 3
area 3
glass 3
wine 2
spicy 2
lady 2
design 2
panda 2
point 2
sake 2
philippe 2
craving 2
spot 2
thick 2
dream 2
nut 2
year 2
choclates 2
space 2
girl 2
food 2
san 2
course 2
cane 2
side 2
scent 2
graham 2
decadent 2
factory 2
holiday 2
city 2
fruit 2
yum 2
variety 2
vision 2
nothing 2
online 2
bunch 2
sampler 2
portion 2
detail 2
anything 2
center 2
size 2
display 2
pure 2
middle 2
velvet 2
dulce 2
question 2
review 2
bubbly 2
door 2
shell 2
process 2
number 2
smell 2
part 2
sweetness 2
inviting 2
confection 2
product 2
athens 2
yummy 2
bacon 2
selection 2
bottom 2
castro 2
creation 2
cotta 2
barrel 2
business 2
top 2
shot 2
table 2
brownie 2
tasting 2
touch 2
mouth 2
movie 2
hot 2
sale 2
employee 2
matter 2
gelato 2
favorite 2
delight 2
perfection 2
creamy 2
peanut 2
orange 1
macaroon 1
woah 1
dozen 1
worker 1
path 1
brioche 1
stopping 1
deliciousness 1
trip 1
arrival 1
notch 1
cluster 1
front 1
frog 1
try 1
consistency 1
piece 1
everyone 1
guava 1
boot 1
plain 1
handmade 1
squish 1
egg 1
gotos 1
cool 1
chip 1
class 1
new 1
carrot 1
hook 1
purist 1
chart 1
tasty 1
macadamia 1
pot 1
passionfruit 1
making 1
case 1
loss 1
batch 1
enjoyer 1
make 1
balance 1
beer 1
content 1
road 1
chocolatier 1
seat 1
right 1
must 1
layer 1
strawberry 1
malt 1
diego 1
county 1
franciscoupon 1
today 1
eye 1
dairy 1
melt 1
fun 1
aunt 1
lula 1
pillow 1
god 1
scott 1
steep 1
register 1
long 1
onsite 1
mouthful 1
go 1
summer 1
wisdom 1
recommendation 1
story 1
stop 1
pricey 1
test 1
marshmellow 1
toffeeettes 1
plenty 1
outer 1
coco 1
easter 1
dollar 1
character 1
exciting 1
nose 1
region 1
melty 1
tempting 1
cello 1
goofy 1
yummo 1
party 1
indulgence 1
evening 1
cacao 1
